SU_ID,source,alter,UniqueID1,ParentUniqueID1
11111004,0,0,3000344,3000344
11111004,1,1,3000345,3000344
11111004,1,2,3000346,3000344
11111004,1,3,3000347,3000344
11111004,2,1,3000001,3000344
11111004,2,2,3000348,3000344
11111004,2,3,3000349,3000344
11111004,2,4,3000350,3000344
11111004,2,5,3000351,3000344
11111019,0,0,3000352,3000352
11111019,1,1,3000353,3000352
11111019,1,2,3000354,3000352
11111019,1,3,3000355,3000352
11111019,2,1,3000356,3000352
11111019,2,2,3000357,3000352
11111019,2,3,3000358,3000352
11111019,2,4,3000359,3000352
11111019,2,5,3000360,3000352
11111020,0,0,3000002,3000002
11111020,1,1,3000003,3000002
11111020,1,2,3000004,3000002
11111020,1,3,3000005,3000002
11111020,2,1,3000006,3000002
11111020,2,2,3000361,3000002
11111026,0,0,3000007,3000007
11111026,1,1,3000008,3000007
11111026,1,2,3000362,3000007
11111026,1,3,3000363,3000007
11111026,2,1,3000008,3000007
11111026,2,2,3000364,3000007
11111026,2,3,3000365,3000007
11111026,2,4,3000366,3000007
11111026,2,5,3000367,3000007
11111027,0,0,3000009,3000009
11111027,1,1,3000010,3000009
11111027,1,2,3000368,3000009
11111027,1,3,3000369,3000009
11111027,1,4,3000370,3000009
11111027,1,5,3000371,3000009
11111027,2,1,3000010,3000009
11111028,0,0,3000372,3000372
11111028,1,1,3000373,3000372
11111028,1,2,3000374,3000372
11111028,2,1,3000375,3000372
11111028,2,2,3000376,3000372
11111033,0,0,3000011,3000011
11111033,1,1,3000012,3000011
11111033,1,2,3000013,3000011
11111033,1,3,3000377,3000011
11111033,1,4,3000014,3000011
11111033,2,1,3000378,3000011
11111033,2,2,3000379,3000011
11111033,2,3,3000380,3000011
11111033,2,4,3000381,3000011
11111033,2,5,3000382,3000011
11111036,0,0,3000015,3000015
11111036,1,1,3000383,3000015
11111036,1,2,3000016,3000015
11111036,1,3,3000384,3000015
11111036,1,4,3000017,3000015
11111036,2,1,3000385,3000015
11111036,2,2,3000386,3000015
11111036,2,3,3000387,3000015
11111036,2,4,3000388,3000015
11111036,2,5,3000389,3000015
11111046,0,0,3000390,3000390
11111046,1,1,3000391,3000390
11111046,1,2,3000392,3000390
11111046,2,1,3000393,3000390
11111046,2,2,3000394,3000390
11111047,0,0,3000018,3000018
11111047,1,1,3000019,3000018
11111047,1,2,3000395,3000018
11111047,1,3,3000396,3000018
11111047,1,4,3000397,3000018
11111047,2,1,3000019,3000018
11111047,2,2,3000398,3000018
11111058,0,0,3000020,3000020
11111058,1,1,3000021,3000020
11111058,1,2,3000399,3000020
11111058,2,1,3000021,3000020
11111058,2,2,3000400,3000020
11111058,2,3,3000401,3000020
11111060,0,0,3000022,3000022
11111060,1,1,3000023,3000022
11111060,1,2,3000024,3000022
11111060,2,1,3000024,3000022
11111060,2,2,3000025,3000022
11111060,2,3,3000402,3000022
11111063,0,0,3000026,3000026
11111063,1,1,3000027,3000026
11111063,1,2,3000403,3000026
11111063,2,1,3000404,3000026
11111063,2,2,3000405,3000026
11111063,2,3,3000406,3000026
11111064,0,0,3000407,3000407
11111064,1,1,3000408,3000407
11111064,1,2,3000409,3000407
11111064,1,3,3000410,3000407
11111064,1,4,3000411,3000407
11111064,2,1,3000028,3000407
11111064,2,2,3000412,3000407
11111064,2,3,3000413,3000407
11111100,0,0,3000414,3000414
11111100,1,1,3000415,3000414
11111100,1,2,3000416,3000414
11111100,1,3,3000417,3000414
11111100,1,4,3000418,3000414
11111100,1,5,3000419,3000414
11111100,2,1,3000420,3000414
11111100,2,2,3000421,3000414
11111100,2,3,3000422,3000414
11111100,2,4,3000423,3000414
11111100,2,5,3000029,3000414
11111103,0,0,3000030,3000030
11111103,1,1,3000424,3000030
11111103,1,2,3000425,3000030
11111103,1,3,3000031,3000030
11111103,1,4,3000032,3000030
11111103,1,5,3000022,3000030
11111103,2,1,3000426,3000030
11111103,2,2,3000427,3000030
11111103,2,3,3000428,3000030
11111103,2,4,3000429,3000030
11111103,2,5,3000430,3000030
11111118,0,0,3000033,3000033
11111118,1,1,3000431,3000033
