su_id,UniqueID1,ParentUniqueID1,UniqueID1_recruiter
22227643,3000001,3000001,3001948
11111004,3000001,3000344,
11111020,3000002,3000002,3000002
22223477,3000002,3000003,
22222921,3000002,3000004,
22223477,3000003,3000003,3001277
11111020,3000003,3000002,
22222923,3000003,3000005,
22222921,3000004,3000004,3000002
22227124,3000004,3000298,
11111020,3000004,3000002,
22222923,3000005,3000005,3000002
11111020,3000005,3000002,
22222922,3000005,3000164,
22222998,3000006,3000187,
22223591,3000006,3000188,
11111020,3000006,3000002,
22222998,3000006,3000187,
11111026,3000007,3000007,3000007
22222843,3000007,3000008,
22222843,3000008,3000008,3000007
11111026,3000008,3000007,
22223063,3000008,3001549,
11111026,3000008,3000007,
22223063,3000008,3001549,
11111027,3000009,3000009,3000009
11111126,3000009,3000010,
11111126,3000010,3000010,3000010
11111027,3000010,3000009,
11111027,3000010,3000009,
11111033,3000011,3000011,3000011
22226410,3000011,3002539,
22222897,3000012,3000012,3000013
11111033,3000012,3000011,
22222864,3000012,3000013,
22222864,3000012,3000013,
22222864,3000013,3000013,3000011
22222897,3000013,3000012,
11111033,3000013,3000011,
22222248,3000013,3000864,
22222897,3000013,3000012,
22223432,3000014,3000014,3000014
22223430,3000014,3002005,
11111033,3000014,3000011,
11111036,3000015,3000015,3000015
22222837,3000015,3001168,
22222839,3000015,3000146,
22222977,3000015,3000017,
22222838,3000016,3000016,3000015
11111036,3000016,3000015,
22222977,3000017,3000017,3000167
11111036,3000017,3000015,
11111219,3000017,3000500,
11111047,3000018,3000018,3000018
11111145,3000018,3000019,
11111145,3000018,3000019,
11111145,3000019,3000019,3000019
11111047,3000019,3000018,
11111047,3000019,3000018,
11111058,3000020,3000020,3000020
22222882,3000020,3000021,
22222883,3000020,3001228,
22222882,3000020,3000021,
22222882,3000021,3000021,3000020
11111058,3000021,3000020,
22228548,3000021,3003254,
11111058,3000021,3000020,
22228548,3000021,3003254,
11111060,3000022,3000022,3000022
22222957,3000022,3000025,
11111103,3000022,3000030,
